Model,Feature,Gain
XGBoost - Sequential real-only,Age,28.566364288330078
XGBoost - Sequential real-only,Weight_g,24.585073471069336
XGBoost - Sequential real-only,accelerations_count,22.809123992919922
XGBoost - Sequential real-only,fhr_baseline_std_bpm,21.868064880371094
XGBoost - Sequential real-only,fhr_baseline_median_bpm,21.475933074951172
XGBoost - Sequential real-only,Gest_weeks,20.70457649230957
XGBoost - Sequential real-only,fhr_baseline_mean_bpm,20.600357055664062
XGBoost - Sequential real-only,slope_sampen_30min,18.246795654296875
XGBoost - Sequential real-only,accelerations_mean_duration_s,18.180986404418945
XGBoost - Sequential real-only,dfa_alpha,18.10702896118164
XGBoost - Sequential real-only,decelerations_variable_count,17.9143123626709
XGBoost - Sequential real-only,Sex,17.770723342895508
XGBoost - Sequential real-only,decelerations_mean_duration_s,17.73356056213379
XGBoost - Sequential real-only,Parity,17.6234188079834
XGBoost - Sequential real-only,ltv_median_amp_bpm,17.132253646850586
XGBoost - Sequential real-only,dfa_alpha_short,17.05303955078125
XGBoost - Sequential real-only,fhr_sampen,16.27655029296875
XGBoost - Sequential real-only,ltv_mean_amp_bpm,15.926301002502441
XGBoost - Sequential real-only,deceleration_uc_lag_median_s,15.831908226013184
XGBoost - Sequential real-only,Diabetes,15.72569751739502
XGBoost - Sequential real-only,fhr_invalid_pct,15.142143249511719
XGBoost - Sequential real-only,fhr_apen,14.618315696716309
XGBoost - Sequential real-only,decelerations_late_count,14.407142639160156
XGBoost - Sequential real-only,uc_invalid_pct,14.118367195129395
XGBoost - Sequential real-only,ltv_valid_windows,14.062965393066406
XGBoost - Sequential real-only,decelerations_mean_amp_bpm,13.98162841796875
XGBoost - Sequential real-only,dfa_intercept,13.799548149108887
XGBoost - Sequential real-only,dfa_alpha_long,13.12423038482666
XGBoost - Sequential real-only,Gravidity,11.829398155212402
XGBoost - Sequential real-only,accelerations_mean_amp_bpm,11.696170806884766
XGBoost - Sequential real-only,decelerations_count,11.59723949432373
XGBoost - Sequential real-only,deceleration_uc_lag_mean_s,11.131933212280273
XGBoost - Sequential real-only,delta_sampen,10.952381134033203
XGBoost - Sequential real-only,decelerations_early_count,10.729390144348145
XGBoost - Sequential real-only,uc_contractions_count,10.095534324645996
XGBoost - Sequential real-only,slope_baseline_mean_30min,9.893170356750488
XGBoost - Sequential real-only,fhr_baseline_slope_bpm_min,9.39749813079834
XGBoost - Sequential real-only,fhr_std_falling_streak,8.251330375671387
XGBoost - Sequential real-only,delta_baseline_std_bpm,7.718647480010986
XGBoost - Sequential real-only,fhr_sampen_falling_streak,6.200639247894287
CatBoost - Sequential real-only,Age,26.444972719699887
CatBoost - Sequential real-only,Weight_g,24.0972230338656
CatBoost - Sequential real-only,Gest_weeks,6.739295592033532
CatBoost - Sequential real-only,fhr_baseline_mean_bpm,3.721096154493764
CatBoost - Sequential real-only,fhr_baseline_median_bpm,3.469989018187637
CatBoost - Sequential real-only,fhr_baseline_std_bpm,3.064109534024911
CatBoost - Sequential real-only,fhr_invalid_pct,2.941695235225025
CatBoost - Sequential real-only,Sex,2.8286640242625563
CatBoost - Sequential real-only,Parity,2.670467749356756
CatBoost - Sequential real-only,fhr_sampen,2.369627131843563
CatBoost - Sequential real-only,dfa_intercept,2.169357570737244
CatBoost - Sequential real-only,uc_invalid_pct,1.9170809567041527
CatBoost - Sequential real-only,dfa_alpha_short,1.8399565478530113
CatBoost - Sequential real-only,Diabetes,1.2923817625169074
CatBoost - Sequential real-only,dfa_alpha_long,1.2052738370864364
CatBoost - Sequential real-only,decelerations_mean_duration_s,1.126326835643113
CatBoost - Sequential real-only,ltv_median_amp_bpm,1.0686243410312197
CatBoost - Sequential real-only,decelerations_mean_amp_bpm,1.0264238076389247
CatBoost - Sequential real-only,Gravidity,1.0249150122856077
CatBoost - Sequential real-only,fhr_apen,0.9308273677039376
CatBoost - Sequential real-only,slope_sampen_30min,0.9017305034782584
CatBoost - Sequential real-only,ltv_valid_windows,0.8873272219185652
CatBoost - Sequential real-only,ltv_mean_amp_bpm,0.6602573468999439
CatBoost - Sequential real-only,dfa_alpha,0.6463505135547997
CatBoost - Sequential real-only,deceleration_uc_lag_median_s,0.6221871217038554
CatBoost - Sequential real-only,accelerations_mean_duration_s,0.5855934335638697
CatBoost - Sequential real-only,uc_contractions_count,0.5821497676528965
CatBoost - Sequential real-only,decelerations_count,0.48795266541162713
CatBoost - Sequential real-only,decelerations_variable_count,0.398354031016975
CatBoost - Sequential real-only,delta_sampen,0.38997949842713603
CatBoost - Sequential real-only,accelerations_mean_amp_bpm,0.27485621592972553
CatBoost - Sequential real-only,slope_baseline_mean_30min,0.23416518296770014
CatBoost - Sequential real-only,decelerations_late_count,0.22860769706853074
CatBoost - Sequential real-only,deceleration_uc_lag_mean_s,0.21025147029265445
CatBoost - Sequential real-only,decelerations_early_count,0.20526554398078933
CatBoost - Sequential real-only,fhr_baseline_slope_bpm_min,0.19090475637229828
CatBoost - Sequential real-only,accelerations_count,0.16191592671588
CatBoost - Sequential real-only,delta_baseline_std_bpm,0.15677329645484345
CatBoost - Sequential real-only,Pyrexia,0.14179592187428758
CatBoost - Sequential real-only,fhr_std_falling_streak,0.05585084298188786
CatBoost - Sequential real-only,fhr_sampen_falling_streak,0.0294228095396691
XGBoost - Sequential real+synthetic,accelerations_count,48.89828872680664
XGBoost - Sequential real+synthetic,fhr_baseline_std_bpm,45.412681579589844
XGBoost - Sequential real+synthetic,decelerations_count,34.10908508300781
XGBoost - Sequential real+synthetic,Age,31.382383346557617
XGBoost - Sequential real+synthetic,accelerations_mean_amp_bpm,30.6666202545166
XGBoost - Sequential real+synthetic,Weight_g,29.315937042236328
XGBoost - Sequential real+synthetic,Gest_weeks,28.28189468383789
XGBoost - Sequential real+synthetic,fhr_baseline_mean_bpm,27.728666305541992
XGBoost - Sequential real+synthetic,ltv_mean_amp_bpm,27.050861358642578
XGBoost - Sequential real+synthetic,fhr_apen,22.08449363708496
XGBoost - Sequential real+synthetic,Parity,21.683259963989258
XGBoost - Sequential real+synthetic,Sex,21.671648025512695
XGBoost - Sequential real+synthetic,uc_invalid_pct,20.786014556884766
XGBoost - Sequential real+synthetic,fhr_baseline_median_bpm,20.189762115478516
XGBoost - Sequential real+synthetic,accelerations_mean_duration_s,19.16224479675293
XGBoost - Sequential real+synthetic,decelerations_mean_duration_s,18.048677444458008
XGBoost - Sequential real+synthetic,dfa_alpha,17.824851989746094
