record,source_record,bootstrap_idx,n_samples,uc_mean,uc_std,uc_min,uc_max,uc_nan_pct,fhr_uc_corr,uc_path
syn_00000,1001,0,19200,25.557344436645508,22.415767669677734,0.0,127.0,0.0,-0.03984655900397706,data\synthetic\syn_00000_uc.npy
syn_00001,1001,1,19200,25.549556732177734,20.15274429321289,0.0,127.0,0.0,0.09410814561357196,data\synthetic\syn_00001_uc.npy
syn_00002,1002,0,19200,25.092708587646484,23.87599754333496,0.0,127.0,0.0,0.2596143671240852,data\synthetic\syn_00002_uc.npy
syn_00003,1002,1,19200,26.995521545410156,24.46211051940918,0.0,127.0,0.0,0.13185041796145827,data\synthetic\syn_00003_uc.npy
syn_00004,1003,0,18000,17.0321102142334,23.583213806152344,0.0,100.0,0.0,-0.2039794478320686,data\synthetic\syn_00004_uc.npy
syn_00005,1003,1,18000,14.636388778686523,21.830265045166016,0.0,100.0,0.0,-0.06931154781048465,data\synthetic\syn_00005_uc.npy
syn_00006,1004,0,16800,24.776845932006836,34.237144470214844,0.0,100.0,0.0,0.1495811284860784,data\synthetic\syn_00006_uc.npy
syn_00007,1004,1,16800,14.511785507202148,25.657651901245117,0.0,100.0,0.0,0.05330310152952909,data\synthetic\syn_00007_uc.npy
syn_00008,1005,0,18000,15.427277565002441,14.647610664367676,0.0,123.0,0.0,-0.09773103384346357,data\synthetic\syn_00008_uc.npy
syn_00009,1005,1,18000,14.035694122314453,14.92729663848877,0.0,100.5,0.0,-0.03853567036672803,data\synthetic\syn_00009_uc.npy
syn_00010,1006,0,16800,3.57148814201355,8.254776000976562,0.0,80.0,0.0,0.35538741312287175,data\synthetic\syn_00010_uc.npy
syn_00011,1006,1,16800,3.1344046592712402,7.126987934112549,0.0,89.0,0.0,0.16093094659887774,data\synthetic\syn_00011_uc.npy
syn_00012,1007,0,15600,8.264166831970215,12.51574420928955,0.0,100.0,0.0,-0.05329479899157283,data\synthetic\syn_00012_uc.npy
syn_00013,1007,1,15600,7.213205337524414,12.661689758300781,0.0,100.0,0.0,-0.1475977300185837,data\synthetic\syn_00013_uc.npy
syn_00014,1008,0,16800,22.5711612701416,8.60123062133789,4.5,94.0,0.0,-0.17975978589422462,data\synthetic\syn_00014_uc.npy
syn_00015,1008,1,16800,21.85386848449707,8.054408073425293,5.0,94.0,0.0,-0.19156232412973953,data\synthetic\syn_00015_uc.npy
syn_00016,1009,0,20400,15.75593090057373,12.183133125305176,0.0,54.0,0.0,-0.06556300335457772,data\synthetic\syn_00016_uc.npy
syn_00017,1009,1,20400,11.622450828552246,12.313308715820312,0.0,54.0,0.0,-0.09039300557532257,data\synthetic\syn_00017_uc.npy
syn_00018,1010,0,16800,9.8197021484375,9.82143783569336,0.0,53.0,0.0,0.06827317195379351,data\synthetic\syn_00018_uc.npy
syn_00019,1010,1,16800,10.917262077331543,10.384079933166504,0.0,58.0,0.0,0.19840404566069064,data\synthetic\syn_00019_uc.npy
syn_00020,1011,0,15600,28.872467041015625,8.971039772033691,0.0,97.0,0.0,-0.29095845104461215,data\synthetic\syn_00020_uc.npy
syn_00021,1011,1,15600,26.018108367919922,11.07858657836914,0.0,82.0,0.0,-0.17316109252697057,data\synthetic\syn_00021_uc.npy
syn_00022,1012,0,16800,27.822261810302734,28.175777435302734,0.0,127.0,0.0,-0.1555312465542742,data\synthetic\syn_00022_uc.npy
syn_00023,1012,1,16800,19.92461395263672,21.004281997680664,0.0,127.0,0.0,0.007024717168869807,data\synthetic\syn_00023_uc.npy
syn_00024,1013,0,18000,20.026945114135742,13.00694751739502,0.0,71.5,0.0,-0.1144241607267477,data\synthetic\syn_00024_uc.npy
syn_00025,1013,1,18000,16.442222595214844,13.594325065612793,0.0,60.0,0.0,0.11499637255102216,data\synthetic\syn_00025_uc.npy
syn_00026,1014,0,19200,32.290157318115234,25.538076400756836,0.0,127.0,0.0,-0.19116380531186472,data\synthetic\syn_00026_uc.npy
syn_00027,1014,1,19200,30.312265396118164,27.260326385498047,0.0,127.0,0.0,-0.16123791032353615,data\synthetic\syn_00027_uc.npy
syn_00028,1015,0,19200,20.251562118530273,19.50335693359375,0.0,118.5,0.0,-0.2006401169702884,data\synthetic\syn_00028_uc.npy
syn_00029,1015,1,19200,19.94742202758789,19.749475479125977,0.0,86.5,0.0,-0.10654250365120695,data\synthetic\syn_00029_uc.npy
syn_00030,1016,0,16800,17.382083892822266,19.08991241455078,0.0,104.0,0.0,-0.0928612238663006,data\synthetic\syn_00030_uc.npy
syn_00031,1016,1,16800,19.973066329956055,17.709863662719727,0.0,104.0,0.0,-0.08931206346650711,data\synthetic\syn_00031_uc.npy
syn_00032,1017,0,21600,24.459745407104492,27.825902938842773,0.0,127.0,0.0,0.3737257516272487,data\synthetic\syn_00032_uc.npy
syn_00033,1017,1,21600,27.39224624633789,31.007415771484375,0.0,127.0,0.0,0.4177756873895063,data\synthetic\syn_00033_uc.npy
syn_00034,1018,0,15600,38.66384506225586,32.09096908569336,0.0,127.0,0.0,-0.1960817966666049,data\synthetic\syn_00034_uc.npy
syn_00035,1018,1,15600,30.29634666442871,30.45742416381836,0.0,119.0,0.0,-0.2177784402395681,data\synthetic\syn_00035_uc.npy
syn_00036,1019,0,16800,20.994583129882812,28.76310920715332,0.0,100.0,0.0,0.03261879612630455,data\synthetic\syn_00036_uc.npy
syn_00037,1019,1,16800,30.765892028808594,35.77732467651367,0.0,100.0,0.0,0.1499978737218048,data\synthetic\syn_00037_uc.npy
syn_00038,1020,0,16800,21.335298538208008,12.26718521118164,0.0,85.0,0.0,-0.3156702359743015,data\synthetic\syn_00038_uc.npy
syn_00039,1020,1,16800,17.76892852783203,10.831339836120605,0.0,85.0,0.0,-0.28770958516970724,data\synthetic\syn_00039_uc.npy
syn_00040,1021,0,16800,16.816160202026367,13.596882820129395,0.0,53.5,0.0,0.15255829844619984,data\synthetic\syn_00040_uc.npy
syn_00041,1021,1,16800,21.311756134033203,13.285146713256836,0.0,61.0,0.0,-0.01047262406241135,data\synthetic\syn_00041_uc.npy
syn_00042,1022,0,15620,15.208962440490723,17.937971115112305,0.0,100.0,0.0,-0.24499189089216847,data\synthetic\syn_00042_uc.npy
syn_00043,1022,1,15620,16.313316345214844,19.369705200195312,0.0,100.0,0.0,-0.2610450208333096,data\synthetic\syn_00043_uc.npy
syn_00044,1023,0,18000,17.14205551147461,15.960637092590332,0.0,112.5,0.0,-0.04853121439890882,data\synthetic\syn_00044_uc.npy
syn_00045,1023,1,18000,16.94505500793457,16.82815170288086,0.0,112.5,0.0,-0.10269075794343867,data\synthetic\syn_00045_uc.npy
syn_00046,1024,0,15600,20.28509521484375,23.486268997192383,0.0,117.5,0.0,-0.11055316147064535,data\synthetic\syn_00046_uc.npy
syn_00047,1024,1,15600,17.07862091064453,20.474830627441406,0.0,100.0,0.0,-0.422995556296299,data\synthetic\syn_00047_uc.npy
syn_00048,1025,0,19200,17.13572883605957,17.772228240966797,0.0,100.0,0.0,-0.09909740877024047,data\synthetic\syn_00048_uc.npy
syn_00049,1025,1,19200,17.961484909057617,18.218460083007812,0.0,100.0,0.0,-0.07690109768586124,data\synthetic\syn_00049_uc.npy
syn_00050,1026,0,18000,22.964611053466797,24.649124145507812,0.0,127.0,0.0,0.55587578955257,data\synthetic\syn_00050_uc.npy
syn_00051,1026,1,18000,26.039138793945312,28.17293357849121,0.0,127.0,0.0,0.5767703591176191,data\synthetic\syn_00051_uc.npy
syn_00052,1027,0,18000,9.27227783203125,14.573750495910645,0.0,100.0,0.0,0.12027348218423282,data\synthetic\syn_00052_uc.npy
syn_00053,1027,1,18000,9.830583572387695,17.474876403808594,0.0,100.0,0.0,-0.021347861218256717,data\synthetic\syn_00053_uc.npy
syn_00054,1028,0,21600,10.713749885559082,17.22943687438965,0.0,100.0,0.0,-0.1104677273200259,data\synthetic\syn_00054_uc.npy
syn_00055,1028,1,21600,8.732685089111328,15.585999488830566,0.0,100.0,0.0,-0.2956477543106415,data\synthetic\syn_00055_uc.npy
