Model,Feature,Gain
XGBoost - Sequential real-only,decelerations_variable_count,59.93120193481445
XGBoost - Sequential real-only,accelerations_mean_duration_s,56.68679428100586
XGBoost - Sequential real-only,Age,53.19779968261719
XGBoost - Sequential real-only,Gest_weeks,40.18914031982422
XGBoost - Sequential real-only,decelerations_mean_duration_s,40.07101821899414
XGBoost - Sequential real-only,fhr_baseline_std_bpm,39.952369689941406
XGBoost - Sequential real-only,fhr_baseline_median_bpm,35.02531814575195
XGBoost - Sequential real-only,Parity,34.6435432434082
XGBoost - Sequential real-only,fhr_sampen,33.84651184082031
XGBoost - Sequential real-only,decelerations_mean_amp_bpm,32.16737365722656
XGBoost - Sequential real-only,ltv_median_amp_bpm,30.93271255493164
XGBoost - Sequential real-only,dfa_alpha,30.199464797973633
XGBoost - Sequential real-only,Sex,29.76688003540039
XGBoost - Sequential real-only,dfa_alpha_short,26.393672943115234
XGBoost - Sequential real-only,fhr_baseline_mean_bpm,26.387968063354492
XGBoost - Sequential real-only,dfa_alpha_long,26.380752563476562
XGBoost - Sequential real-only,fhr_invalid_pct,22.864206314086914
XGBoost - Sequential real-only,deceleration_uc_lag_median_s,22.650575637817383
XGBoost - Sequential real-only,slope_sampen_30min,20.69772720336914
XGBoost - Sequential real-only,Gravidity,18.931215286254883
XGBoost - Sequential real-only,ltv_mean_amp_bpm,18.336090087890625
XGBoost - Sequential real-only,ltv_valid_windows,17.110313415527344
XGBoost - Sequential real-only,decelerations_count,17.059024810791016
XGBoost - Sequential real-only,dfa_intercept,16.24770164489746
XGBoost - Sequential real-only,fhr_apen,16.10232925415039
XGBoost - Sequential real-only,fhr_baseline_slope_bpm_min,15.92795181274414
XGBoost - Sequential real-only,slope_baseline_mean_30min,13.948493957519531
XGBoost - Sequential real-only,uc_invalid_pct,11.66051959991455
XGBoost - Sequential real-only,delta_sampen,8.723714828491211
XGBoost - Sequential real-only,uc_contractions_count,8.709118843078613
XGBoost - Sequential real-only,fhr_std_falling_streak,6.690606594085693
CatBoost - Sequential real-only,Age,25.271992964966376
CatBoost - Sequential real-only,Gest_weeks,10.974744739943313
CatBoost - Sequential real-only,fhr_baseline_median_bpm,7.38895371076072
CatBoost - Sequential real-only,fhr_baseline_mean_bpm,7.2666181608153035
CatBoost - Sequential real-only,fhr_baseline_std_bpm,6.667804523057634
CatBoost - Sequential real-only,ltv_median_amp_bpm,6.598400221642726
CatBoost - Sequential real-only,slope_sampen_30min,5.64233678420701
CatBoost - Sequential real-only,fhr_invalid_pct,3.3803939586418474
CatBoost - Sequential real-only,dfa_alpha_short,2.81030248350443
CatBoost - Sequential real-only,dfa_alpha_long,2.3331365057374147
CatBoost - Sequential real-only,Parity,2.144498008906242
CatBoost - Sequential real-only,Sex,2.0085606337612503
CatBoost - Sequential real-only,ltv_mean_amp_bpm,1.7558565058864573
CatBoost - Sequential real-only,accelerations_mean_amp_bpm,1.5129190816042613
CatBoost - Sequential real-only,decelerations_mean_amp_bpm,1.461188794757571
CatBoost - Sequential real-only,accelerations_mean_duration_s,1.4555365052823683
