Feature,AUROC_CV,Odds_Ratio,CI_Lower,CI_Upper,P_Value
fhr_baseline_std_bpm,0.716251585211199,2.106020595946106,1.5563903371506116,2.849749606303284,1.3872615186810753e-06
fhr_invalid_pct,0.6705687250024388,1.9329446185052728,1.4242946040243,2.623245842293979,2.3369988929306432e-05
signal_duration_min,0.6515179006926153,1.6423394685905504,1.2266549640645765,2.19888967077811,0.0008622375294736277
accelerations_count,0.6404160569700517,1.6934430528685147,1.3023076181809123,2.2020522135272165,8.451925072142521e-05
fhr_sampen,0.608731343283582,0.6567624302920144,0.46876903720028457,0.9201479953096426,0.014538941167904603
Deliv_type,0.6045746756414008,1.6237866416989468,1.3073967347031057,2.0167428813096304,1.165184528937309e-05
fhr_apen,0.6008569895619938,0.6598717198279446,0.48703162922485543,0.894050120156893,0.007303309768265022
decelerations_variable_count,0.5990793581114037,1.4873355977878038,1.147533649300578,1.9277580067435232,0.0027009965267061893
uc_invalid_pct,0.597944590771632,1.488431407915673,1.1293923855897585,1.9616105831216106,0.0047440797239206006
Pos_IIst,0.5921671056482294,0.6586899965557985,0.5262320848931208,0.8244888976140604,0.0002676325784002596
dfa_alpha,0.5830001951029168,1.4179711929528702,1.0485388288588027,1.9175659009523827,0.02334471240185471
dfa_alpha_short,0.5821310116086236,1.2497129813982324,0.9218363298678608,1.694208055457231,0.15107128430676658
decelerations_count,0.5747746561311092,1.3637506661154504,1.0346573889706547,1.797518578764128,0.02768220609741611
ltv_valid_windows,0.5723200175592625,1.3358316339414664,0.9828001214649131,1.8156755532131201,0.06443390687369752
NoProgress,0.5627548531850552,1.3767749094290456,1.083284515161817,1.7497796051762202,0.008950005197759549
Age,0.5553936201346211,1.3237744628147061,0.9768383755537083,1.793929141458074,0.07047594340509723
Sex,0.5549409813676714,0.7902559964493828,0.5781167613854709,1.0802394630931764,0.13994166629340282
deceleration_uc_lag_mean_s,0.5538347478294801,1.361692755730007,1.0726449036545325,1.72863093339673,0.011212072997998437
Parity,0.5489976587649986,0.7834451276283539,0.5285934621982723,1.161168860189913,0.22411644135961573
fhr_baseline_mean_bpm,0.5449404936103794,0.8323141871861157,0.6088842922097487,1.137731610183576,0.24978415948234767
Gest_weeks,0.5449385425812115,0.909547831588395,0.6741671609440594,1.2271099897370952,0.5349312049823354
uc_contractions_count,0.544162520729685,0.8633409370092425,0.639452042083343,1.1656191934075495,0.337360483238184
ltv_mean_amp_bpm,0.5379519071310116,1.2360981425884539,0.926104326259017,1.6498558259442626,0.15019597041663313
deceleration_uc_lag_median_s,0.5365354599551264,1.2950801234477627,1.021190693697325,1.642428330478494,0.03292985829178544
decelerations_mean_duration_s,0.5362925568237245,1.1039763717692594,0.8000762936049904,1.5233095133131642,0.5470649565502024
dfa_alpha_long,0.5293039703443567,1.20537047104263,0.8938642509146778,1.6254347021651028,0.22078318639533978
Induced,0.5279231294507852,0.8857697293487337,0.6477341858210208,1.2112808473062788,0.4474876273639763
Diabetes,0.5131816408155302,0.8736336491595729,0.6034935658541847,1.2646957583774534,0.4741368301733646
Pyrexia,0.5073529411764706,0.025813689950655427,0.0,inf,0.9999979471761181
I_stage,0.49438274314701003,0.8008059134556159,0.07430308358249878,8.63073347842231,0.8546978361880542
CK_KP,0.4800214613208468,1.0253684080235865,0.7707296661625078,1.3641363740514714,0.8634369927847381
decelerations_mean_amp_bpm,0.4744363964491269,0.9460015548118265,0.7009562705480661,1.2767115144096945,0.7166727609598802
Meconium,0.47367232465125353,0.9364206306650318,0.677493831865932,1.2943049165776328,0.6907836050187022
Gravidity,0.4732509023509901,0.929732740383689,0.6584806617958106,1.3127233929451498,0.678905957657624
decelerations_early_count,0.47300434103989863,1.0391608493157,0.7744072092028924,1.394428225767728,0.797932620806481
II_stage,0.47266022827041265,1.1249087919967289,0.8335946977547664,1.5180276382753712,0.44146823165838334
accelerations_mean_duration_s,0.4649968295776022,1.0629176445758741,0.7793978659047395,1.449572764533091,0.6998897222851345
fhr_baseline_median_bpm,0.4608228465515559,0.9181845299059478,0.6748335504202307,1.2492900366818103,0.5869303856857537
fhr_baseline_slope_bpm_min,0.4532318798166032,0.81143255808484,0.5936497323697054,1.1091099017123172,0.19003150598225127
Weight_g,0.450926007218808,0.9622059267903724,0.7098248236813527,1.3043221576118595,0.8039640751564257
accelerations_mean_amp_bpm,0.4494900497512438,1.1640246939644086,0.8551288987513603,1.5845020442384854,0.334393428033678
Rec_type,0.44810091698370896,0.9761651803722784,0.7123210664840242,1.3377372988204532,0.8807254013687155
dfa_intercept,0.42958004097161256,0.9682165776813592,0.7147088444056833,1.311643683486994,0.8348147383578649
decelerations_late_count,0.42358989366891037,1.0891913194948781,0.8121339961333693,1.4607660018066433,0.5683518803519689
ltv_median_amp_bpm,0.40978172861184275,1.0540506435409187,0.7781682414252901,1.427741071923058,0.7338578913199392
Sig2Birth,,,,,
