Feature,AUROC_CV,Odds_Ratio,CI_Lower,CI_Upper,P_Value
fhr_baseline_std_bpm,0.5983089969161617,1.3368775372201596,1.1162537256983127,1.6011069064121297,0.0016044205141957175
Deliv_type,0.5903822794654402,1.587105926946979,1.2834431536617392,1.9626153415238095,2.0163236052348315e-05
ltv_mean_amp_bpm,0.5750029502656504,1.2505551672493271,1.0213988367127889,1.531123954837388,0.030389105704418586
Pos_IIst,0.5737972604458401,0.6778064298587398,0.544986476855943,0.8429962501240015,0.0004744271462345146
NoProgress,0.5727670073953828,1.454750438877943,1.1429845084651553,1.851555138098431,0.0023193200376865996
II_stage,0.5686934679643151,1.1976739958217264,0.825761281487392,1.737091617669267,0.34170029216611886
fhr_invalid_pct,0.564278136840697,1.2372342663332163,1.0051685374950847,1.5228775799168677,0.0445789439456441
ltv_median_amp_bpm,0.5628337605112665,1.2065801858226748,0.9973065889224629,1.4597674987717004,0.05333316032919697
Sex,0.561498539079355,0.7864052923814169,0.5578605306382065,1.1085804603849612,0.1701980923922196
accelerations_count,0.5486309711849197,1.213753550797532,1.0101473269711128,1.4583988322683017,0.03866541369078816
accelerations_mean_amp_bpm,0.545890304691245,1.1673026070587327,0.9609198327989436,1.4180115030794818,0.11914372319285284
accelerations_mean_duration_s,0.5440899045692695,1.179958048655337,0.9683000462989004,1.4378817825200505,0.10088163276618943
Age,0.5437516413001815,1.2706068558386252,0.8813757279827628,1.8317293418087988,0.19937409271821993
Gest_weeks,0.5358476638521921,0.9391481566725223,0.7218297872705342,1.221893687037374,0.6401094386899042
dfa_alpha_long,0.5316692580900026,1.1590959226227024,0.9183017788703348,1.4630303335503805,0.2140057100802184
Parity,0.5312575401520172,0.8609825104052713,0.591652733375773,1.2529155050027485,0.43421636349475723
dfa_intercept,0.5267767068628315,1.096962071497493,0.8358901461212629,1.439574077871118,0.504556647392255
dfa_alpha_short,0.5198694901645651,0.8847783353300244,0.6825845567378356,1.146865534741414,0.35507978530248085
Diabetes,0.5177847188878362,0.8399801442419621,0.58463838428678,1.2068428308577308,0.345618977523526
fhr_baseline_slope_bpm_min,0.5172292729251,0.8937740900500257,0.7930100327335021,1.007341762488402,0.06575261679638426
decelerations_late_count,0.5110252043869122,1.087588974558314,0.8683000881438958,1.3622591932580592,0.4648942205082993
decelerations_count,0.509387596526144,1.1352436890591315,0.8736369925654346,1.475187342701789,0.34254807364511175
decelerations_variable_count,0.5088964949828818,1.1494105360161604,0.9254936596850447,1.4275025727940227,0.2078189556124418
Pyrexia,0.507244093913864,0.039274314163796814,,,
fhr_baseline_mean_bpm,0.4880749150556589,0.9597479583330948,0.6725319020101109,1.3696244605965109,0.8208648467234211
CK_KP,0.4876378995869019,1.0769082024364722,0.8264633967171435,1.4032457832755911,0.5832518207929779
ltv_valid_windows,0.48579137807882755,0.9763478453222756,0.7494011662736249,1.2720224600202894,0.859241095615977
Meconium,0.4835717725463514,0.9382393065988252,0.6651116152555123,1.3235267228175933,0.716479047043145
Weight_g,0.4775972237053769,0.9598141686008294,0.7300118228151378,1.261956600503153,0.7689604499127195
decelerations_mean_amp_bpm,0.47653525077678804,0.9827356481954201,0.7646222334595196,1.2630673186999366,0.8918128338630933
Rec_type,0.4722138438150803,1.0231400806647342,0.7264228103348085,1.4410555530052274,0.8958457342437693
uc_invalid_pct,0.47080762930846437,0.9216882961928224,0.7387671505412154,1.149901311551933,0.4699956134018194
fhr_sampen,0.47006535515678183,1.0085120721107408,0.7852905283247184,1.295185110360238,0.9470563185208889
Induced,0.46914396512517714,0.9150251630556809,0.648891725798651,1.2903093316447651,0.6125561797191482
decelerations_early_count,0.46623086099896793,1.012113720581332,0.7423397168526225,1.3799264139229086,0.9393148476413566
decelerations_mean_duration_s,0.4655080630679823,0.9892893228490954,0.7678799333729582,1.2745395754831788,0.9336085096584348
dfa_alpha,0.4640743730605473,1.0517880400978104,0.8300863130451323,1.3327024719086593,0.6759040354243
fhr_baseline_median_bpm,0.46251899171696403,1.0041865638744218,0.7058520029617984,1.4286148524544084,0.9814686830430923
fhr_apen,0.4587603553902114,0.9805166721462799,0.7563556093104578,1.2711123346243192,0.8818944430577256
uc_contractions_count,0.45703389533417493,0.9788979321663451,0.7677666475050893,1.2480890707006058,0.8633858505535836
deceleration_uc_lag_median_s,0.44474019552581473,1.0169588427969087,0.9189020917140025,1.125479305432588,0.7451250166931336
deceleration_uc_lag_mean_s,0.4317074638111076,1.0152134545493277,0.9211381939028598,1.1188965620143092,0.7608844390445076
Gravidity,0.4307012358569411,0.9674612601152682,0.7438982136422739,1.2582115034811978,0.8051116651183224
I_stage,0.39914977595250206,0.8259413938886204,0.7359611111413904,0.9269228710749355,0.0011564969643513097
