Model,Feature,Gain
XGBoost sequential real-only,II_stage,313.9587707519531
XGBoost sequential real-only,Deliv_type,168.51370239257812
XGBoost sequential real-only,fhr_baseline_median_bpm,164.132080078125
XGBoost sequential real-only,Age,147.1614990234375
XGBoost sequential real-only,Weight_g,98.8321304321289
XGBoost sequential real-only,fhr_baseline_std_bpm,86.08536529541016
XGBoost sequential real-only,I_stage,84.11563110351562
XGBoost sequential real-only,ltv_mean_amp_bpm,80.4605941772461
XGBoost sequential real-only,fhr_sampen,73.43681335449219
XGBoost sequential real-only,dfa_alpha,71.89539337158203
XGBoost sequential real-only,Sex,68.49298095703125
XGBoost sequential real-only,slope_sampen_30min,65.30156707763672
XGBoost sequential real-only,dfa_alpha_short,62.499996185302734
XGBoost sequential real-only,fhr_invalid_pct,58.87152862548828
XGBoost sequential real-only,Gest_weeks,54.981502532958984
XGBoost sequential real-only,fhr_apen,53.3818244934082
XGBoost sequential real-only,ltv_median_amp_bpm,49.30266189575195
XGBoost sequential real-only,Rec_type,44.118953704833984
XGBoost sequential real-only,ltv_valid_windows,20.100618362426758
XGBoost sequential real-only,dfa_alpha_long,20.06774139404297
XGBoost sequential real+synthetic,Deliv_type,31.411874771118164
XGBoost sequential real+synthetic,II_stage,26.699859619140625
XGBoost sequential real+synthetic,Diabetes,20.81939697265625
XGBoost sequential real+synthetic,Age,19.678186416625977
XGBoost sequential real+synthetic,ltv_median_amp_bpm,16.379657745361328
XGBoost sequential real+synthetic,Induced,15.902765274047852
XGBoost sequential real+synthetic,I_stage,15.599599838256836
XGBoost sequential real+synthetic,Rec_type,15.095947265625
XGBoost sequential real+synthetic,Weight_g,14.277891159057617
XGBoost sequential real+synthetic,dfa_alpha_short,13.770709991455078
XGBoost sequential real+synthetic,fhr_baseline_std_bpm,13.447288513183594
XGBoost sequential real+synthetic,Sex,13.363058090209961
XGBoost sequential real+synthetic,Meconium,12.930859565734863
XGBoost sequential real+synthetic,fhr_sampen,12.664972305297852
XGBoost sequential real+synthetic,slope_sampen_30min,12.274402618408203
XGBoost sequential real+synthetic,fhr_apen,12.015748023986816
XGBoost sequential real+synthetic,NoProgress,11.76695728302002
XGBoost sequential real+synthetic,Parity,10.816617012023926
XGBoost sequential real+synthetic,fhr_baseline_mean_bpm,10.73511791229248
XGBoost sequential real+synthetic,Gest_weeks,9.663061141967773
XGBoost sequential real+synthetic,fhr_baseline_median_bpm,8.247350692749023
XGBoost sequential real+synthetic,fhr_invalid_pct,7.729979515075684
XGBoost sequential real+synthetic,Pos_IIst,7.285344123840332
XGBoost sequential real+synthetic,Gravidity,7.0907979011535645
XGBoost sequential real+synthetic,dfa_alpha_long,7.026770114898682
XGBoost sequential real+synthetic,deceleration_uc_lag_median_s,6.865833282470703
XGBoost sequential real+synthetic,accelerations_mean_duration_s,6.813744068145752
XGBoost sequential real+synthetic,ltv_mean_amp_bpm,6.79689884185791
XGBoost sequential real+synthetic,CK_KP,6.725804328918457
XGBoost sequential real+synthetic,ltv_valid_windows,6.700963020324707
XGBoost sequential real+synthetic,uc_contractions_count,6.44691801071167
XGBoost sequential real+synthetic,decelerations_mean_amp_bpm,6.3541669845581055
XGBoost sequential real+synthetic,decelerations_mean_duration_s,6.104193210601807
XGBoost sequential real+synthetic,accelerations_mean_amp_bpm,5.801478862762451
XGBoost sequential real+synthetic,uc_invalid_pct,5.709009647369385
XGBoost sequential real+synthetic,dfa_intercept,5.022257328033447
XGBoost sequential real+synthetic,decelerations_variable_count,4.835415840148926
XGBoost sequential real+synthetic,delta_sampen,4.538076400756836
XGBoost sequential real+synthetic,decelerations_late_count,4.443013668060303
XGBoost sequential real+synthetic,dfa_alpha,4.17333984375
XGBoost sequential real+synthetic,slope_baseline_mean_30min,4.12921142578125
XGBoost sequential real+synthetic,decelerations_early_count,3.7843849658966064
XGBoost sequential real+synthetic,fhr_sampen_falling_streak,3.0885305404663086
XGBoost sequential real+synthetic,deceleration_uc_lag_mean_s,2.928396701812744
XGBoost sequential real+synthetic,fhr_baseline_slope_bpm_min,2.48248553276062
XGBoost sequential real+synthetic,delta_baseline_std_bpm,2.399186372756958
XGBoost sequential real+synthetic,fhr_std_falling_streak,2.3003008365631104
XGBoost sequential real+synthetic,decelerations_count,1.651569128036499
XGBoost sequential real+synthetic,accelerations_count,0.7416831254959106
